 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Imuno
Período:2010-2019
"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";99,23;77,44;91,93;90,57;100,68;87,89;89,21;99,95;0,03;98,31;69,82;86,41;88,72;80,30;104,36;83,98;73,95;99,06;3,84;79,65;53,88;39,87;85,80
"12 Acre";100,20;60,09;72,14;71,17;78,85;64,19;64,09;83,64;1,87;73,09;47,95;58,36;61,40;61,16;86,32;54,17;48,82;77,67;4,94;60,67;28,64;20,42;64,99
"13 Amazonas";104,89;74,39;72,43;77,55;87,14;73,35;71,17;85,74;0,18;81,24;61,01;74,57;77,86;71,68;92,23;69,89;62,40;84,07;4,17;67,25;47,39;40,24;74,17
"14 Roraima";108,73;79,26;79,44;78,76;85,86;77,28;78,81;87,42;0,40;81,78;66,25;78,17;81,25;80,99;91,69;75,17;70,88;85,64;5,31;77,28;44,48;41,19;77,82
"15 Pará";98,35;60,20;70,32;70,68;78,08;60,53;60,49;79,88;0,03;73,02;47,04;61,69;64,88;57,58;87,08;51,81;45,06;76,01;3,29;57,81;29,93;20,42;63,09
"16 Amapá";106,40;73,20;74,49;74,68;79,59;66,74;67,15;75,60;10,81;73,80;57,51;65,53;68,95;52,12;87,57;66,67;60,47;78,26;4,82;62,23;44,45;31,16;69,00
"17 Tocantins";98,02;73,44;86,25;84,41;93,46;80,97;85,21;89,45;0,07;82,76;64,37;81,00;83,67;76,42;91,07;74,57;62,97;90,05;2,46;74,19;33,73;31,95;78,78
"21 Maranhão";103,21;68,56;77,32;76,50;87,06;71,01;67,77;88,01;1,17;83,49;53,78;69,72;72,30;68,03;94,05;57,88;39,62;84,33;4,33;67,67;41,04;31,94;70,35
"22 Piauí";90,69;66,79;80,19;83,00;86,17;70,55;73,16;83,09;0,29;79,40;57,55;75,72;78,23;66,88;87,71;63,70;32,63;83,82;2,84;68,06;34,65;26,38;70,32
"23 Ceará";102,27;74,72;95,53;92,46;100,33;87,97;87,94;99,63;0,60;0,35;71,61;94,31;95,14;88,94;107,86;85,99;57,05;97,55;2,62;83,81;64,58;46,78;80,27
"24 Rio Grande do Norte";97,62;65,29;78,42;77,68;85,11;69,92;74,98;84,91;0,60;0,29;54,19;75,05;76,64;69,89;93,59;63,00;41,38;83,43;4,72;68,47;42,59;30,08;67,12
"25 Paraíba";102,60;69,53;83,77;84,02;91,40;78,00;81,05;91,15;0,47;0,64;59,96;76,69;76,67;74,89;99,19;65,20;39,01;89,07;3,11;69,60;39,03;30,01;70,80
"26 Pernambuco";101,11;70,34;88,32;85,83;96,29;81,35;85,53;94,74;0,54;0,52;64,29;83,67;86,92;79,25;103,39;72,02;46,93;93,82;4,07;76,90;55,66;42,56;74,73
"27 Alagoas";101,92;71,19;80,20;81,16;90,52;77,29;76,26;88,25;1,18;0,81;65,36;81,51;80,06;77,92;98,44;68,51;45,54;87,25;4,74;74,43;51,17;37,61;70,51
"28 Sergipe";93,38;82,58;87,43;84,84;90,56;77,12;83,50;88,87;0,11;0,34;62,73;83,67;85,11;77,56;93,13;72,55;42,60;89,68;2,78;77,71;41,62;28,14;72,13
"29 Bahia";91,94;61,34;76,05;81,41;85,01;68,17;71,12;84,46;0,10;79,40;57,83;72,84;77,15;69,47;91,71;65,76;41,28;84,40;3,64;70,64;36,06;27,96;70,24
"31 Minas Gerais";95,56;68,11;91,91;98,37;96,04;82,76;90,02;92,57;0,12;88,76;69,60;87,25;90,03;83,61;97,75;79,82;43,54;93,71;2,57;80,78;33,12;32,54;82,25
"32 Espírito Santo";95,91;70,21;89,63;86,86;97,00;80,30;88,46;92,83;0,35;19,24;68,40;86,20;86,69;79,20;96,99;78,76;46,91;91,71;2,96;71,11;51,18;46,17;76,56
"33 Rio de Janeiro";102,54;65,90;82,95;82,31;91,67;78,48;75,51;92,06;0,16;10,38;63,51;76,83;78,03;70,18;97,22;70,80;46,66;87,74;4,48;65,78;40,09;38,41;69,85
"35 São Paulo";96,28;71,69;88,77;85,32;95,46;78,84;85,33;90,16;0,65;26,55;64,42;82,52;84,28;79,84;93,56;80,31;56,33;90,13;2,08;73,74;38,70;32,58;75,27
"41 Paraná";98,30;61,29;89,97;88,38;97,36;81,54;86,97;92,06;0,14;72,78;69,09;86,95;88,83;77,89;95,21;82,21;69,88;93,34;3,09;71,16;34,14;35,60;80,65
"42 Santa Catarina";96,32;70,39;93,05;91,79;98,53;83,04;90,87;92,57;0,25;35,01;71,14;87,30;90,70;81,37;96,35;81,46;71,83;92,86;2,37;74,96;39,69;36,24;80,71
"43 Rio Grande do Sul";95,03;62,96;84,50;84,49;91,36;79,21;81,51;87,02;0,62;50,58;65,42;79,67;82,15;75,56;90,47;76,96;64,68;87,09;3,78;69,84;33,09;28,67;74,45
"50 Mato Grosso do Sul";107,21;82,56;96,43;94,77;100,77;91,44;93,78;99,95;0,47;94,36;72,61;94,56;95,98;91,55;102,69;79,97;71,36;100,57;3,53;88,90;51,55;39,81;87,35
"51 Mato Grosso";98,13;75,55;87,13;86,45;93,40;80,73;80,86;92,10;0,75;89,11;65,76;79,73;84,55;77,47;95,01;75,76;67,21;91,07;3,45;75,70;45,79;34,55;79,60
"52 Goiás";101,66;62,30;88,15;85,97;92,89;79,35;83,06;90,79;0,21;87,07;65,29;79,94;83,22;76,20;97,74;74,27;62,76;88,71;4,61;68,30;32,53;35,59;77,70
"53 Distrito Federal";103,30;92,93;87,70;88,61;93,10;82,50;84,25;91,85;0,12;60,56;71,56;86,21;89,98;81,38;91,88;89,83;78,40;90,76;4,64;79,50;58,45;41,23;82,33
"Total";98,29;68,79;85,44;85,32;92,53;77,80;81,04;90,07;0,43;48,14;63,73;80,51;82,82;76,27;95,31;74,23;53,27;89,19;3,31;72,52;40,48;33,97;74,99
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

